Approved_symbol	Locus	Chromosome
ADGRB2	1p35.2	1
ADGRB3	6q12-q13	6
ADGRB3-DT	6q12	6
ADGRD1	12q24.33	12
ADGRD1-AS1	12q24.33	12
ADGRD2	9q33.3	9
ADGRE1	19p13.3-p13.2	19
ADGRE2	19p13.12	19
ADGRE3	19p13.12	19
ADGRE4P	19p13.2	19
ADGRE5	19p13.12	19
ADGRF1	6p12.3	6
ADGRF2P	6p12.3	6
ADGRF3	2p23.3	2
ADGRF4	6p12.3	6
ADGRF5	6p12.3	6
ADGRF5-AS1	6p12.3	6
ADGRF5P1	9q13	9
ADGRF5P2	9p11.1	9
ADGRG1	16q21	16
ADGRG2	Xp22.13	X
ADGRG3	16q21	16
ADGRG4	Xq26.3	X
ADGRG5	16q21	16
ADGRG6	6q24.2	6
ADGRG7	3q12.2	3
ADGRL1	19p13.12	19
ADGRL1-AS1	19p13.12	19
ADGRL2	1p31.1	1
ADGRL3	4q13.1	4
ADGRL3-AS1	4q13.1	4
ADGRL4	1p31.1	1
ADGRV1	5q14.3	5
ADH1A	4q23	4
ADH1B	4q23	4
ADH1C	4q23	4
ADH4	4q23	4
ADH5	4q23	4
ADH5P1	4q21-q23	4
ADH5P2	1p31.1	1
ADH5P3	1q43	1
ADH5P4	6q12	6
ADH5P5	5p14.2	5
ADH6	4q23	4
ADH7	4q23	4
ADHFE1	8q13.1	8
ADI1	2p25.3	2
ADI1P1	20q12	20
ADI1P2	8q22.3	8
ADI1P3	12q13.11	12
ADIG	20q11.23	20
ADIPINT	9q22.33	9
ADIPOQ	3q27.3	3
ADIPOQ-AS1	3q27.3	3
ADIPOR1	1q32.1	1
ADIPOR1P1	10p12.31	10
ADIPOR1P2	14q32.13	14
ADIPOR2	12p13.33	12
ADIR	1q25-q31	1
ADIRF	10q23.2	10
ADIRF-AS1	10q23.2	10
ADISSP	20p13	20
ADK	10q22.2	10
ADM	11p15.4	11
ADM-DT	11p15.4	11
ADM2	22q13.33	22
ADM5	19q13.33	19
ADNP	20q13.13	20
ADNP-AS1	20q13.13	20
ADNP2	18q23	18
ADO	10q21.3	10
ADORA1	1q32.1	1
ADORA2A	22q11.23	22
ADORA2A-AS1	22q11.23	22
ADORA2B	17p12	17
ADORA2BP1	1q32.2	1
ADORA3	1p13.2	1
ADPGK	15q24.1	15
ADPGK-AS1	15q24.1	15
ADPRH	3q13.33	3
ADPRHL1	13q34	13
ADPRM	17p13.1	17
ADPRS	1p34.3	1
ADRA1A	8p21.2	8
ADRA1B	5q33.3	5
ADRA1D	20p13	20
ADRA2A	10q25.2	10
ADRA2B	2q11.2	2
ADRA2C	4p16.3	4
ADRB1	10q25.3	10
ADRB2	5q32	5
ADRB3	8p11.23	8
ADRM1	20q13.33	20
ADSL	22q13.1	22
ADSS1	14q32.33	14
ADSS2	1q44	1
ADTRP	6p24.1	6
AEBP1	7p13	7
AEBP2	12p12.3	12
AEN	15q26.1	15
AEPLC	reserved	reserved
AEZ	reserved	reserved
AF8T	3	3
AFA	reserved	reserved
AFAP1	4p16.1	4
AFAP1-AS1	4p16.1	4
AFAP1L1	5q32	5
AFAP1L2	10q25.3	10
AFD1	9q32	9
AFDN	6q27	6
AFDN-DT	6q27	6
AFF1	4q21.3-q22.1	4
AFF1-AS1	4q21.3	4
AFF2	Xq28	X
AFF2-IT1	Xq28	X
AFF3	2q11.2	2
AFF4	5q31.1	5
AFF4-DT	5q31.1	5
AFF4P1	3q22.1	3
AFG1L	6q21	6
AFG2A	4q28.1	4
AFG2B	15q21.1	15
AFG3L1P	16q24.3	16
AFG3L2	18p11.21	18
AFG3L2P1	8p11.1	8
AFM	4q13.3	4
AFMID	17q25.3	17
AFP	4q13.3	4
AFTPH	2p14	2
AFTPH-DT	2p14	2
AGA	4q34.3	4
AGA-DT	4q34.3	4
AGAP1	2q37.2	2
AGAP1-IT1	2q37.2	2
AGAP2	12q14.1	12
AGAP2-AS1	12q14.1	12
AGAP3	7q36.1	7
AGAP4	10q11.22	10
AGAP5	10q22.2	10
AGAP6	10q11.23	10
AGAP7P	10q11.22	10
AGAP8	10q11.23	10
AGAP9	10q11.22	10
AGAP10	10q11.22	10
AGAP10P	10q11.22	10
AGAP11	10q23.2	10
AGAP12P	10q11.22	10
AGAP13P	10q11.22	10
AGAP14P	10q11.22	10
AGBL1	15q25.3	15
AGBL1-AS1	15q25.3	15
AGBL2	11p11.2	11
AGBL3	7q33	7
AGBL4	1p33	1
AGBL4-AS1	1p33	1
AGBL4-IT1	1p33	1
AGBL5	2p23.3	2
AGBL5-AS1	2p23.3	2
AGBL5-IT1	2p23.3	2
AGER	6p21.32	6
AGFG1	2q36.3	2
AGFG2	7q22.1	7
AGGF1	5q13.3	5
AGGF1P1	4q35.2	4
AGGF1P2	10q26.3	10
AGGF1P3	3p12.3	3
AGGF1P4	16p11.1	16
AGGF1P5	16p11.1	16
AGGF1P6	16p11.1	16
AGGF1P7	16p11.1	16
AGGF1P8	16p11.2	16
AGGF1P9	16p11.1	16
AGGF1P10	20q11.1	20
AGK	7q34	7
AGK-DT	7q34	7
AGKP1	Yq11.221	Y
AGKP2	Xq26.2	X
AGL	1p21.2	1
AGMAT	1p36.21	1
AGMO	7p21.2	7
AGMX2	Xp22	X
AGO1	1p34.3	1
AGO2	8q24.3	8
AGO3	1p34.3	1
AGO4	1p34.3	1
AGPAT1	6p21.32	6
AGPAT2	9q34.3	9
AGPAT3	21q22.3	21
AGPAT4	6q26	6
AGPAT4-IT1	6q26	6
AGPAT5	8p23.1	8
AGPAT5P1	Yp11.2	Y
AGPS	2q31.2	2
AGR2	7p21.1	7
AGR3	7p21.1	7
AGRN	1p36.33	1
AGRP	16q22.1	16
AGS1	3p21	3
AGS2	13q14-q21	13
AGT	1q42.2	1
AGTBP	reserved	reserved
AGTPBP1	9q21.33	9
AGTR1	3q24	3
AGTR1B	reserved	reserved
AGTR2	Xq23	X
AGTRAP	1p36.22	1
AGXT	2q37.3	2
AGXT2	5p13.2	5
AHCTF1	1q44	1
AHCTF1P1	2q24.2	2
AHCY	20q11.22	20
AHCYL1	1p13.3	1
AHCYL2	7q32.1	7
AHCYP1	10q11.22	10
AHCYP2	9q33.2	9
AHCYP3	2q12.1	2
AHCYP4	2q22.1	2
AHCYP5	2q32.3	2
AHCYP6	11q14.1	11
AHCYP7	15q21.2	15
AHCYP8	1q44	1
AHDC1	1p36.11-p35.3	1
AHDS	Xq21	X
AHI1	6q23.3	6
AHI1-DT	6q23.3	6
AHNAK	11q12.3	11
AHNAK2	14q32.33	14
AHR	7p21.1	7
AHRR	5p15.33	5
AHSA1	14q24.3	14
AHSA2P	2p15	2
AHSG	3q27.3	3
AHSP	16p11.2	16
AIC	Xp22	X
AICDA	12p13.31	12
AIDA	1q41	1
AIDAP1	2p25.1	2
AIDAP2	4q32.1	4
AIDAP3	18p11.32	18
AIED	Xp21-q21	X
AIF1	6p21.33	6
AIF1L	9q34.12-q34.13	9
AIFM1	Xq26.1	X
AIFM1P1	10p12.31	10
AIFM2	10q22.1	10
AIFM3	22q11.21	22
AIG1	6q24.2	6
AIG1P1	5p13.1	5
AIH2	4q13.3-q21.2	4
AIH3	Xq22-q28	X
AIM2	1q23.1-q23.2	1
AIMP1	4q24	4
AIMP1P1	20p12.1	20
AIMP1P2	1q24.3	1
AIMP2	7p22.1	7
AIP	11q13.2	11
AIPL1	17p13.2	17
AIRE	21q22.3	21
AIRIM	1p34.3	1
AIRN	6q25.3	6
AIS1	1p33-p31	1
AIS2	7q11.22	7
AIS3	8	8
AJAP1	1p36.32	1
AJM1	9q34.3	9
AJUBA	14q11.2	14
AJUBA-DT	14q11.2	14
AK1	9q34.11	9
AK2	1p35.1	1
AK2P1	1p32.1	1
AK2P2	2p22.3	2
AK3	9p24.1	9
AK3P2	8q24.3	8
AK3P3	7p15.3	7
AK3P4	5q22.3	5
AK3P5	10p11.22	10
AK3P6	12q24.33	12
AK3P7	3p21.1	3
AK4	1p31.3	1
AK4P1	17q11.2	17
AK4P2	5q11.2	5
AK4P3	12p11.21	12
AK4P4	9p24.1	9
AK4P5	6q14.1	6
AK4P6	4q31.3	4
AK5	1p31.1	1
AK6	5q13.2	5
AK6	reserved	reserved
AK6P1	12p11.1	12
AK6P2	12q12	12
AK7	14q32.2	14
AK8	9q34.13	9
AK9	6q21	6
AKAIN1	18p11.31	18
AKAP1	17q22	17
AKAP1-DT	17q22	17
AKAP2	9q31.3	9
AKAP3	12p13.32	12
AKAP4	Xp11.22	X
AKAP5	14q23.3	14
AKAP6	14q12	14
AKAP7	6q23.2	6
AKAP8	19p13.12	19
AKAP8L	19p13.12	19
AKAP8P1	9p23	9
AKAP9	7q21.2	7
AKAP10	17p11.2	17
AKAP11	13q14.11	13
AKAP11-IT1	13q14.11	13
AKAP12	6q25.1	6
AKAP13	15q25.3	15
AKAP13-AS1	15q25.3	15
AKAP14	Xq24	X
AKAP17A	Xp22.33 and Yp11.32	X
AKAP17BP	Xq24	X
AKD2	6q21	6
AKIP1	11p15.4	11
AKIRIN1	1p34.3	1
AKIRIN1P1	12q21.31	12
AKIRIN1P2	Xq12	X
AKIRIN2	6q15	6
AKIRIN2-AS1	6q15	6
AKIRIN2P1	4q31.23	4
AKNA	9q32	9
AKNAD1	1p13.3	1
AKR1A1	1p34.1	1
AKR1B1	7q33	7
AKR1B1P1	1q42.12	1
AKR1B1P2	3p12.3	3
AKR1B1P3	11p15.2	11
AKR1B1P4	13q14.13	13
AKR1B1P5	14q23.1	14
AKR1B1P6	18p11.22	18
AKR1B1P7	19q13.11	19
AKR1B1P8	Xq23	X
AKR1B10	7q33	7
AKR1B10P1	10q21.3	10
AKR1B10P2	18q22.1	18
AKR1B11	reserved	reserved
AKR1B15	7q33	7
AKR1C1	10p15.1	10
AKR1C2	10p15.1	10
AKR1C3	10p15.1	10
AKR1C4	10p15.1	10
AKR1C5P	10p15.1	10
AKR1C6P	10p15.1	10
AKR1C7P	10p15.1	10
AKR1C8	10p15.1	10
AKR1D1	7q33	7
AKR1D1P1	1q24.2	1
AKR1E2	10p15.1	10
AKR7A2	1p36.13	1
AKR7A2P1	1p13.2	1
AKR7A2P2	Xq24	X
AKR7A3	1p36.13	1
AKR7L	1p36.13	1
AKT1	14q32.33	14
AKT1S1	19q13.33	19
AKT2	19q13.2	19
AKT3	1q43-q44	1
AKT3-IT1	1q44	1
AKTIP	16q12.2	16
AKTIPP1	3p21.1	3
AKTIPP2	5p14.2	5
AKTIPP3	11q21	11
ALAD	9q32	9
ALAS1	3p21.2	3
ALAS2	Xp11.21	X
ALB	4q13.3	4
ALCAM	3q13.11	3
ALDH1A1	9q21.13	9
ALDH1A2	15q21.3	15
ALDH1A2-AS1	15q21.3	15
ALDH1A3	15q26.3	15
ALDH1A3-AS1	15q26.3	15
ALDH1B1	9p13.1	9
ALDH1L1	3q21.3	3
ALDH1L1-AS1	3q21.3	3
ALDH1L1-AS2	3q21.3	3
ALDH1L2	12q23.3	12
ALDH2	12q24.12	12
ALDH3A1	17p11.2	17
ALDH3A2	17p11.2	17
ALDH3B1	11q13.2	11
ALDH3B2	11q13.2	11
ALDH4A1	1p36.13	1
ALDH5A1	6p22.3	6
ALDH6A1	14q24.3	14
ALDH7A1	5q23.2	5
ALDH7A1P1	5q13.3	5
ALDH7A1P2	2q31.1	2
ALDH7A1P3	7q36.1	7
ALDH7A1P4	10q21.2	10
ALDH8A1	6q23.3	6
ALDH9A1	1q24.1	1
ALDH16A1	19q13.33	19
ALDH18A1	10q24.1	10
ALDOA	16p11.2	16
ALDOAP1	3p21.2	3
ALDOAP2	10q26.13	10
ALDOB	9q31.1	9
ALDOC	17q11.2	17
ALDRL2	9q22	9
ALFN1	12q24	12
ALG1	16p13.3	16
ALG1L1P	3q21.2	3
ALG1L2	3q22.1	3
ALG1L3P	4p16.1	4
ALG1L5P	7p22.1	7
ALG1L6P	3p12.3	3
ALG1L7P	4p16.3	4
ALG1L8P	11q13.2	11
ALG1L9P	11q13.4	11
ALG1L10P	12p13.31	12
ALG1L11P	8p23.1	8
ALG1L12P	8p23.1	8
ALG1L13P	8p23.1	8
ALG1L14P	4p16.1	4
ALG1L15P	3q25.31	3
ALG2	9q22.33	9
ALG3	3q27.1	3
ALG3P1	5p15.32	5
ALG5	13q13.3	13
ALG6	1p31.3	1
ALG8	11q14.1	11
ALG9	11q23.1	11
ALG9-IT1	11q23.1	11
ALG10	12p11.1	12
ALG10B	12q12	12
ALG11	13q14.3	13
ALG12	22q13.33	22
ALG13	Xq23	X
ALG13-AS1	Xq23	X
ALG14	1p21.3	1
ALG14-AS1	1p21.3	1
ALK	2p23.2-p23.1	2
ALKAL1	8q11.23	8
ALKAL2	2p25.3	2
ALKBH1	14q24.3	14
ALKBH2	12q24.11	12
ALKBH3	11p11.2	11
ALKBH3-AS1	11p11.2	11
ALKBH4	7q22.1	7
ALKBH5	17p11.2	17
ALKBH6	19q13.12	19
ALKBH7	19p13.3	19
ALKBH8	11q22.3	11
ALLC	2p25.3	2
ALMS1	2p13.1	2
